Name of Composer,Dates,Nationality,Name of piece,Year,Duration (mins),Instrumentation - Ensemble type (instruments),Recording links,Publisher,Score link,Composer website,Biography,Bio_source
"Hyde, Miriam",1913-2005,Australian,Clarinet Sonata in F minor,1949,,Clarinet and Piano,https://open.spotify.com/album/18l14hDSM2w3iPxCWwxcc9?si=VAFSJ5FJQauCuoIvbKb4AA,,https://www.australianmusiccentre.com.au/workversion/hyde-miriam-clarinet-sonata-in-f-minor/3858,,,
"Hyde, Miriam",1913-2005,Australian,Canon and Rhapsody,1950,,Clarinet and Piano,,,https://www.australianmusiccentre.com.au/workversion/hyde-miriam-canon-and-rhapsody/3856,,,
"Hyde, Miriam",1913-2005,Australian,Tangled Rope ,1993,,Solo Clarinet,,,https://www.australianmusiccentre.com.au/workversion/hyde-miriam-tangled-rope/5896,,,
"Hyde, Miriam",1913-2005,Australian,"Trio for Flute, Clarinet and Piano",1948,,"Flute, Clarinet and Piano",,,https://www.australianmusiccentre.com.au/workversion/hyde-miriam-trio-for-flute-clarinet-and-piano/3875,,,
"Hyde, Miriam",1913-2005,Australian,Legend,1982,6,Clarinet and Piano,,Hal Leonard,https://www.australianmusiccentre.com.au/product/legend-for-clarinet-and-piano,,,
"Illean, Lisa",b.1983,Australian,février,2019,13,"Clarinet, Cello, Piano",https://www.radiofrance.fr/francemusique/podcasts/le-concert-de-20h/festival-presences-2020-grisey-lacote-messiaen-urquiza-illean-fujikura-bertrand-5127984,Faber,https://www.fabermusic.com/music/d08c311f-a0af-47e9-aff8-1bed0985717b,https://www.lisaillean.com.au/,,
"Illean, Lisa",b.1983,Australian,Rose,2016,11,Clarinet and Chamber Orchestra,,Faber,https://www.fabermusic.com/music/21fb6e89-56ca-487f-b1f9-0d37c2f0a04c,https://www.lisaillean.com.au/,,
"Illean, Lisa",b.1983,Australian,Januaries,2017,11,"Flute, Clarinet, Horn, Trumpet, Percussion, Harp, Piano, 2 Violins, Viola, Cello, Double Bass",https://www.youtube.com/watch?v=nWT4DgHN8Bk,Faber,https://www.fabermusic.com/music/8dc7c9d2-20ad-4a80-841a-f0995a0f00ec,https://www.lisaillean.com.au/,,
"Ivanova, Vera",b.1977,Russian,Regrains and Ritornellos,2004,5,"Oboe, Eb/Bb Clarinet, Bassoon, Horn, Trumpet, Trombone, 2 Violins, Cello",,,http://www.veraivanova.com/music/refrainsampritornellos,http://www.veraivanova.com/,,
"Ivanova, Vera",b.1977,Russian,Aura,2011,,Solo Clarinet,https://youtu.be/PCt3EqlM9yI,,,,,
"Ivanova, Vera",b.1977,Russian,Chant,2001,4,"Soprano, Flute, Oboe, Clarinet, Trumpet, Piano, Violin",,,,,,
"Ivanova, Vera",b.1977,Russian,Night music,2001,7,"Flute/Piccolo, Oboe, Clarinet/Bass Clarinet, Bassoon/Contra, Horn, Trumpet, Trombone, Percussion, Harp, 2 Violins, Viola, Cello, Double Bass",,,,,,
"Ivanova, Vera",b.1977,Russian,Six for Six,2005,20,"Flute/Piccolo/Alto, Bb/Eb/Bass Clarinet, Piano, Percussion, Violin, Cello",,,,,,
"Ivanova, Vera",b.1977,Russian,Sagittarius,2015,5,"Flute/Piccolo, Clarinet, Violin, Cello, Piano",https://youtu.be/O_ChbHjtZCw,,,,,
"Ivanova, Vera",b.1977,Russian,Children's Games,2018,15,"Flute, Clarinet, Violin, Cello, Piano, Toy Instruments",https://youtu.be/s6b0x9VngIo,,,,,
"Ivanova, Vera",b.1977,Russian,Electrostatic Whale,2016,5,Bass Clarinet and Sound Track,,,,,,
"Järnegard, Lina",b.1979,Swedish,"Emellanåt, stundom (occasionally, sometimes)",2016,7,"Clarinet, Cello, Piano",,,Contact composer,http://www.linajarnegard.com/,,
"Jolas, Betsy",b.1926,French American,Musique pour Xavier,1993,,"clarinet, tenor saxophone and violin",,,,,,
"Jolas, Betsy",b.1926,French American,Quartet No.6,1997,,clarinet and string trio,,,,,,
"Jolas, Betsy",b.1926,French American,Trio sopra et sola facta,1999,,"violin, clarinet and piano",,,,,,
"Jolas, Betsy",b.1926,French American,Petites musiques de chevet,1989,,Clarinet and Piano,,,,,,
"Jolas, Betsy",b.1926,French American,"Quoth the raven, 3 pieces for clarinet and piano",1993,,Clarinet and Piano,,,,,,
"Jolas, Betsy",b.1926,French American,Lovemusic,2005,,Flute and bass clarinet,,,,,,
"Jolas, Betsy",b.1926,French American,"Episode No.9 ""Forte magnum colaraturum""",1990,,Solo clarinet,,,,,,
"Jolas, Betsy",b.1926,French American,Motet IV 'Ventosum Vocant',2002,,"soprano, flute, clarinet, harp, violin and cello",,,,,,
"Jolas, Betsy",b.1926,French American,L' Ascension du Mont Ventoux,2004,,"soprano, narrator, flute, clarinet, violin, cello and harp",,,,,,
"Jolas, Betsy",b.1926,French American,Rambles,,,"narrator/speaker, flute, clarinet, harp, violin and cello",,,,,,
"Jugend, Nurit",b.0000,American,Above & Beyond,2003,13,"Flute, Oboe, Clarinet, Bassoon, Trumpet, Trombone, Tuba, Piano, Violin, Viola, Cello, Double Bass",,,https://www.nuritjugend.com/A/Contemporary_Compositions.html,https://www.nuritjugend.com/,,
"Kats-Chernin, Elena",b.1957,Soviet Australian,Two Dialogues,,,Clarinet and Violin,,,,,,
"Kats-Chernin, Elena",b.1957,Soviet Australian,Ornamental Air,,,Basset Clarinet and Orchestra,,,,,,
"Kats-Chernin, Elena",b.1957,Soviet Australian,Three Short Pieces,,,Solo Clarinet,,,,,,
"Keal, Minna",1909-1999,British (English),Wind Quintet op.2,1980,12,"Flute, Oboe, Clarinet, Bassoon, Horn",https://www.youtube.com/watch?v=EN8UdxqmTpY,,,,,
"Kendall, Hannah",b.1984,British (English),Vera,2008,8,"Clarinet, Violin, Viola, Piano",https://soundcloud.com/hannah-kendall/01-vera,,hannah@hannahkendall.co.uk,https://hannahkendall.co.uk/,,
"Kendall, Hannah",b.1984,British (English),Tan-Tan,2020,15,"Mezzo-Soprano, Flute, Clarinet, Violin, Percussion",,,hannah@hannahkendall.co.uk,https://hannahkendall.co.uk/,,
"Kendall, Hannah",b.1984,British (English),Iscariot Blues,2015,2,"Clarinet, Bassoon, Piano",,,hannah@hannahkendall.co.uk,https://hannahkendall.co.uk/,,
"Kern, Frida",1891-1988,Austrian,Vier Stücke op. 25,1939,16,"Flute, Oboe, Clarinet, Bassoon, Horn",https://open.spotify.com/album/4BvLpXvumGic1YMF4WbgD4?si=vDD4v0KpS7SWiEkCIZrxmw,Thomi - Berg,,,,
"Kirkland Snider, Sarah",b.1973,American,You Are Free,2015,6,"Flute, Clarinet, Marimba, Piano, Violin, Cello",https://soundcloud.com/sksnider/you-are-free,G. Schirmer,,,,
"Kirkland Snider, Sarah",b.1973,American,In Two Worlds,2005,9,"Flute, Oboe, Bass Clarinet, French Horn, 2 Trumpets, Vibraphone, Violin & Cello",https://soundcloud.com/sksnider/in-two-worlds-2006,G. Schirmer,,,,
"Kolb, Barbara",b.1939,American,Rebuttal,1975,4,2 Clarinets,Naxos,C.F. Peters,,,,
"Kolb, Barbara",b.1939,American,Related Characters,1985,10,Clarinet and Piano,Naxos,Boosey & Hawkes,,,,
"Kouyoumdjian, Mary",b.1983,Armenian American,The Vanishing Dark,2017,8,"Flute/Piccolo, Clarinet/Bass Clarinet/Voice, Trombone, Percussion, Piano, Violin, Cello,  Double Bass & audio playback",https://soundcloud.com/marykouyoumdjian/kouyoumdjianthe-vanishing-dark-v2,,https://www.eamdc.com/psny/composers/mary-kouyoumdjian/works/the-vanishing-dark/,https://www.marykouyoumdjian.com/,"MARY KOUYOUMDJIAN is a composer and documentarian with projects ranging from concert works to multimedia collaborations and film scores. As a first generation Armenian-American and having come from a family directly affected by the Lebanese Civil War and Armenian Genocide, she uses a sonic palette that draws on her heritage, interest in music as documentary, and background in experimental composition to progressively blend the old with the new. She has received commissions for the Kronos Quartet, New York Philharmonic, Carnegie Hall, Bang on a Can, the Metropolitan Museum of Art, Alarm Will Sound, Roomful of Teeth, OPERA America, Beth Morrison Projects, the American Composers Forum/JFund, International Contemporary Ensemble, Brooklyn Youth Chorus, REDSHIFT, the Nouveau Classical Project, Music of Remembrance, Friction Quartet, Experiments in Opera, and Ensemble Oktoplus. Her documentary work was recently presented by the NY Philharmonic Biennial and her residencies include Alarm Will Sound, Roulette/The Jerome Fund, Montalvo Arts, and Exploring the Metropolis. Kouyoumdjian holds a D.M.A. and M.A. in Composition at Columbia University, an M.A. in Scoring for Film & Multimedia from New York University, and a B.A. in Composition from UC San Diego. Kouyoumdjian is a cofounder of the annual new music conference New Music Gathering and is on composition faculty at Boston Conservatory at Berklee and a lecturer at Columbia University. ",www.marykouyoumdjian.com
"Kouyoumdjian, Mary",b.1983,Armenian American,"""Where Once""",2016,10,"Baritone voice, Bass Clarinet, Trumpet, Trombone, Electronic playback",http://www.marykouyoumdjian.com/small-ensemble.html,,mary@marykouyoumdjian.com,https://www.marykouyoumdjian.com/,,
"Kouyoumdjian, Mary",b.1983,Armenian American,The Edge of Infinity,2006,6,"Flute, Clarinet, Violin, Cello, Trumpet, Trombone, Piano, Percussion",https://soundcloud.com/marykouyoumdjian/le-bord-de-linfini,,mary@marykouyoumdjian.com,https://www.marykouyoumdjian.com/,,
"Kulenty, Hanna",b.1961,Polish,Stretto,1998,8,"Flute, Clarinet, Guitar, Cello",,Donemus,https://webshop.donemus.com/action/front/sheetmusic/9620/Stretto,,,
"Lang, Mary Jane",b.0000,American,Wispy Clouds,2005,,Clarinet and Piano,,,https://www.sheetmusicplus.com/title/wispy-clouds-for-clarinet-in-bb-and-piano-digital-sheet-music/19842699,N/A,,
"Lang, Mary Jane",b.0000,American,Heart Throb,2015,,Clarinet and Piano,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/985512/Product.aspx,N/A,,
"Larsen, Libby",b.1950,American,Barn Dances,,,"Flute, Clarinet, Piano",,,,https://libbylarsen.com/,,
"Larsen, Libby",b.1950,American,Bee Navigation,,,Solo Clarinet,,,,https://libbylarsen.com/,,
"Larsen, Libby",b.1950,American,"Black Birds, Red Hills",,,"Clarinet, Viola, Piano",,,,https://libbylarsen.com/,,
"Larsen, Libby",b.1950,American,Blue Windows,,,"Wind Quintet and Piano (flute, oboe, clarinet, bassoon, french horn, piano)",,,,https://libbylarsen.com/,,
"Larsen, Libby",b.1950,American,Blues in Six,,,Clarinet and Piano,,,,https://libbylarsen.com/,,
"Larsen, Libby",b.1950,American,BURN,,,"Clarinet/Bass Clarinet and String Quartet (violins, viola, cello)",,,,https://libbylarsen.com/,,
"Larsen, Libby",b.1950,American,Corker,,,Clarinet and Percussion,,,,https://libbylarsen.com/,,
"Larsen, Libby",b.1950,American,Dancing Solo,,,Solo Clarinet,,,https://libbylarsen.com/works/dancing-solo/,https://libbylarsen.com/,,
"Larsen, Libby",b.1950,American,Downwind of Roses in Maine,,,"Flute, Clarinet, Mallet Percussion",,,,https://libbylarsen.com/,,
"Larsen, Libby",b.1950,American,Ferlinghetti,,,"Clarinet, Viola, Piano",,,,https://libbylarsen.com/,,
"Larsen, Libby",b.1950,American,Rodeo Queen of Heaven,,10,"Clarinet, Violin, Cello, Piano",,,,https://libbylarsen.com/,,
"Larsen, Libby",b.1950,American,Slang,,27,"Clarinet, Violin, Piano",,,,https://libbylarsen.com/,,
"Larsen, Libby",b.1950,American,Song without words,,9,Clarinet and Piano,,,,https://libbylarsen.com/,,
"Larsen, Libby",b.1950,American,A Tarantella for Our Times,,,Clarinet and Violin,,,,https://libbylarsen.com/,,
"Larsen, Libby",b.1950,American,Yellow Jersey,,,Clarinet Duet (two clarinets),https://www.youtube.com/watch?v=CB1xHLGUKWU,OUP,,https://libbylarsen.com/,,
"Larsen, Libby",b.1950,American,Licorice Stick,2002,7,Clarinet and Piano,https://open.spotify.com/track/455wheqztEIGkyeCPwEyfo?si=ca73e6f309684fe3,,,,,
"Leach, Mary Jane",b.1949,American,Windjammer,1995,10,"Oboe, Clarinet, Bassoon",https://www.mjleach.com/sounds/WJmm122-end.mp3,,https://www.mjleach.com/scores/Windjammer(P).pdf,mjleach.com,,
"Lee, Joanna",b.1982,British (English),Elephant Woman,2007,12,"Voice, Flute, Clarinet, Viola, Cello, Piano",,,http://www.joannalee.co.uk/works.html,http://www.joannalee.co.uk/,,
"LeFanu, Nicola",b.1947,British (English),Concertino,1997,16,Clarinet and String Orchestra,https://open.spotify.com/track/2geo0BgZuQuqJScpgS5DCF?si=30_CAmGARViVn4ndM4iBgw,Novello,https://www.wisemusicclassical.com/work/8030/Concertino-for-Clarinet-and-Strings--Nicola-LeFanu/,https://www.nicolalefanu.com/,"Nicola LeFanu has composed over a hundred works which have been widely played, broadcast and recorded; her music is published by Novello and by Edition Peters.
She has been commissioned by the BBC, by festivals in UK and beyond, and by leading orchestras, ensembles and soloists.
Her catalogue includes a number of works for string ensemble, and chamber music for a wide variety of mediums, often including voice. She has a particular affinity for vocal music and has composed eight operas.
She is active in many aspects of the musical profession, as composer, teacher, director etc. From 1994–2008 she was Professor of Music at the University of York. Recent premieres include The Crimson Bird (2017, BBCSO/Ilan Volkov with Rachel Nicholls, soprano; text John Fuller), Triptych (2021,WCO/Anthony Hose with Jeremy Huw Williams, baritone; text Rowan Williams), Quintet for strings (2021, Sacconi quartet with Tim Lowe, cello) and several works for solo instruments, for voice and for chamber ensemble.
She was born in England in 1947: her mother was the composer Elizabeth Maconchy. LeFanu studied at Oxford, RCM and, as a Harkness Fellow, at Harvard. She is married to the Australian composer David Lumsdaine.",https://www.nicolalefanu.com/
"LeFanu, Nicola",b.1947,British (English),Invisible Places,1986,16,"Clarinet, 2 Violins, Viola, Cello",https://open.spotify.com/album/3EfpXN3IdDHrMLeFJ736Ud?si=0J3p0aRAQCCGhLMDaU-IHQ ,Novello,https://www.sheetmusicplus.com/title/invisible-places-sheet-music/18943036?narrow_by=clarinet,https://www.nicolalefanu.com/,,
"LeFanu, Nicola",b.1947,British (English),Lament 1988,1988,16,"Oboe/Cor Anglais, Clarinet/Bass Clarinet, Viola, Cello",https://open.spotify.com/track/4VQAu1BAIvXYJmbZntNDAb?si=MtwcGAdHQDi3abt06Ff4iw,Novello,https://www.sheetmusicplus.com/title/lament-oboe-clarinet-viola-and-cello-parts-sheet-music/18943041?narrow_by=clarinet,https://www.nicolalefanu.com/,,
"LeFanu, Nicola",b.1947,British (English),Lullaby,1988,7,Clarinet and Piano,,Novello,https://www.sheetmusicplus.com/title/lullaby-sheet-music/18833703?narrow_by=clarinet,https://www.nicolalefanu.com/,,
"LeFanu, Nicola",b.1947,British (English),A Little Concerto,2001,15,"Clarinet, Violin, Viola, Cello",,Edition Peters,https://www.editionpeters.com/product/a-little-concerto/ep71213a,https://www.nicolalefanu.com/,,
"LeFanu, Nicola",b.1947,British (English),Isobirthday,2002,4,Flute and Clarinet,,Edition Peters,,https://www.nicolalefanu.com/,,
"LeFanu, Nicola",b.1947,British (English),Song of the Night Sky,2004,2,Clarinet and Piano,,Edition Peters,,https://www.nicolalefanu.com/,,
"LeFanu, Nicola",b.1947,British (English),Songs without Words,2005,8,"Clarinet, Violin, Viola, Cello",,Edition Peters,,https://www.nicolalefanu.com/,,
"LeFanu, Nicola",b.1947,British (English),Sea Sketches,2008,10,Clarinet and Piano,,Edition Peters,https://www.editionpeters.com/product/sea-sketches/ep71210,https://www.nicolalefanu.com/,,
"LeFanu, Nicola",b.1947,British (English),Rondel,2016,10,"Wind Quintet (Flute, Oboe, Clarinet, Bassoon, Horn)",,Edition Peters,,https://www.nicolalefanu.com/,,
"LeFanu, Nicola",b.1947,British (English),The Same Day Dawns,1974,18,"Soprano, Flute, Clarinet, Violin, Cello, Percussion",,Novello,,https://www.nicolalefanu.com/,,
"LeFanu, Nicola",b.1947,British (English),Trio 2: Song for Peter,1983,18,"Soprano, Clarinet, Cello",https://open.spotify.com/track/5r3ut7a5hUzaMr5wT0PBRT?si=cQYUQssaTve1rod2WF6pDA,Novello,https://www.wisemusicclassical.com/work/8020/Trio-2-Song-for-Peter--Nicola-LeFanu/,https://www.nicolalefanu.com/,,
"LeFanu, Nicola",b.1947,British (English),Collana for six players,1976,12,"Solo Percussion, Flute, Clarinet, Violin, Cello, Double Bass",,Novello,,https://www.nicolalefanu.com/,,
"LeFanu, Nicola",b.1947,British (English),Sextet - Fasach - A Wild Garden,1996,15,"Flute, Clarinet, Violin, Cello, Piano, Percussion",,Novello,https://www.wisemusicclassical.com/work/8027/Sextet--Nicola-LeFanu/ ,https://www.nicolalefanu.com/,,
"LeFanu, Nicola",b.1947,British (English),May Rain,2017,5,"Solo Mezzo Soprano, Wind Quintet, String Quartet, Double Bass",,Edition Peters,,https://www.nicolalefanu.com/,,
"Leinonen, Minna",b.1977,Finnish,3 Capriccios,2001,,"Flute, Oboe, Clarinet, Bassoon, Horn",,Music Finland,https://core.musicfinland.fi/works/three-capriccios-for-wind-quintet,,,
"Leon, Tania",b.1943,Cuban American,Parajote Delate,1988,4,"Flute, Clarinet, Violin, Cello, Piano",https://www.youtube.com/watch?v=16OcCXtdUUc,Peer Music Classical,,,,
"Leon, Tania",b.1943,Cuban American,One Mo' Time,2016,6,"Flute, Clarinet, Violin, Cello, Piano",,Peer Music Classical,,,,
"Leon, Tania",b.1943,Cuban American,Entre nos,1998,12,"Clarinet, Bassoon, Piano",Naxos,Peer Music Classical,,,,
"Leon, Tania",b.1943,Cuban American,Arenas d'un Tiempo,1992,12,"Clarinet, Cello, Piano",,Peer Music Classical,,,,
"Likhuta, Catherine",b.1981,Ukrainian Australian,Motions,2007,16,Clarinet and Piano,https://youtube.com/watch?v=FWbfi_zfyhY,,Contact composer,http://www.catherinelikhuta.com/index.htm,,
"Lim, Liza",b.1966,Australian,Sonorous Body,2008,12,Solo Clarinet,https://www.youtube.com/watch?v=Y0cDFKZC8To,Ricordi,https://www.musicshopeurope.com/sonorous-body-sy%204701,https://lizalimcomposer.com/,,
"Lim, Liza",b.1966,Australian,Inguz,1996,6,Clarinet and Cello,https://open.spotify.com/track/3JkAHlPDHp27gQoesbnMHx?si=db8ea564f31849f3,Ricordi,https://www.musicshopeurope.com/inguz-fertility-nr%2013762600,https://lizalimcomposer.com/,,
"Loveday, Clare",b.1967,South African,Clarinet Trio 1,2018,,"Clarinet, Violin and Piano",,,,http://clareloveday.co.za/,,
"Loveday, Clare",b.1967,South African,Heatwave,2016,,Clarinet and Piano,,,,,,
"Lu, Wang",b.0000,Chinese American,Lost Dialects,2008,9,"Oboe, Clarinet, Bassoon, Trumpet, Percussion, Cello",https://www.wanglucomposer.com/Lost-Dialects-2008,,wanglu.newyork@gmail.com,https://wanglucomposer.com/,,
"Lutyens, Elisabeth",1906-1983,British (English),6 Tempi for 10 Instruments op.42,1957,13,"Flute, Oboe, Clarinet, Bassoon, Horn, Trumpet, Violin, Viola, Cello, Piano",https://open.spotify.com/album/7wiD7dj8TnDSSsVnxcuaK9?si=H0oGWXuNQB2cJn6qhfHZxg,,,,"Daughter of Edwardian architect Sir Edwin Lutyens, Elizabeth Lutyens is remembered as a pioneer amongst woman composers, and an early advocate of the twelve-note system in Britain at a time when it was derided and misunderstood. Though most comfortable in the smaller forms, she created a large output of works for the concert hall in addition to her commercial writing for the cinema.  Formal clarity and precision were valued above romantic expression, but her finest music balances classical poise and direction with a turbulent current of genuine emotion.",https://www.schott-music.com/en/person/elisabeth-lutyens
"Lutyens, Elisabeth",1906-1983,British (English),Rape of the Moone op.90,1973,14,"2 Oboes, 2 Clarinets, 2 Bassoons, 2 Horns",,,,,,
"Lutyens, Elisabeth",1906-1983,British (English),Fantasie-Trio op.55,1963,11,"Flute, Clarinet, Piano",https://open.spotify.com/track/4wpRZli8NWPmQEmeLeykEP?si=xNOJdGUvQf2l4uGLotYw_w,University of York Music Press,,,,
"Lutyens, Elisabeth",1906-1983,British (English),Wind Trio op.52,1963,10,"Flute, Clarinet, Bassoon",https://open.spotify.com/album/3Br5ePmawV7CP8XwZ2sDv9?si=BquB8OtoTl-ioKJzzO84Lg,Schott Music,,,,
"Lutyens, Elisabeth",1906-1983,British (English),Soli op.148,1980,7,Clarinet/Bass Clarinet and Double Bass,,,,,,
"Lutyens, Elisabeth",1906-1983,British (English),Trio op.135,1979,13,"Clarinet, Cello, Piano",https://samekmusic.com/shop/new-english-clarinet-music/,,,,,
"Lutyens, Elisabeth",1906-1983,British (English),Triolet I op.160a,1982,10,"Clarinet, Mandolin, Cello",https://open.spotify.com/album/7wiD7dj8TnDSSsVnxcuaK9?si=opAiiVIISl2jgVUMY7hE-Q,,,,,
"Lutyens, Elisabeth",1906-1983,British (English),Tre op. 94,1973,9,Solo Clarinet,,,,,,
"Lutyens, Elisabeth",1906-1983,British (English),A Phoenix op. 71,1968,6,"Soprano, Clarinet, Violin, Piano",,,,,,
"Lutyens, Elisabeth",1906-1983,British (English),The Valley of Hatsu-Se op.62,1965,10,"Soprano, Flute/Alto Flute, Clarinet/Bass Clarinet, Cello, Piano",https://www.youtube.com/watch?v=Eoed5fY9otk,,,,,
"Lutyens, Elisabeth",1906-1983,British (English),Wind Quintet op.45,1960,12,"Wind Quintet (Flute, Oboe, Clarinet, Bassoon, Horn)",,,,,,
"Lutyens, Elisabeth",1906-1983,British (English),Valediction op.28,1954,10,Clarinet and Piano,https://open.spotify.com/album/4fDtZchk6QDlpXmq0BaKY1?si=UtBbVboySM-WiupenBk3Mw,,,,,
"Lutyens, Elisabeth",1906-1983,British (English),Music for Wind op.60,1964,11,"Double Wind Quintet (2 Flutes, 2 Oboes, 2 Clarinets, 2 Bassoons, 2 Horns)",,Schott Music,,,,
"Lutyens, Elisabeth",1906-1983,British (English),Requiescat,1971,5,"Mezzo Soprano, 3 Clarinets",,,,,,
"Lutyens, Elisabeth",1906-1983,British (English),Six op.147,1980,15,"Clarinet/Bass Clarinet/E flat Clarinet, Trumpet, Piano, Percussion, Violin, Double Bass",,,,,,
"Lutyens, Elisabeth",1906-1983,British (English),Five Little Pieces op.14 no.1,1945,5,Clarinet and Piano,https://www.youtube.com/watch?v=B_yk3e_ZDFI,Schott Music,https://www.boosey.com/shop/prod/Lutyens-Elisabeth-Five-Little-Pieces-op-14-1-clarinet-and-piano/2137650,,,
"Maconchy, Elizabeth",1907-1994,Irish English,Clarinet Quintet,1963,13,Clarinet Quintet (Clarinet and String Quartet),https://www.hyperion-records.co.uk/dc.asp?dc=D_CDH55105,Chester Music,https://www.musicroom.com/product/mussos01145/elizabeth-maconchy-clarinet-quintet-1963-clarinet.aspx,,,
"Maconchy, Elizabeth",1907-1994,Irish English,Fantasia,1980,11,Clarinet and Piano,https://open.spotify.com/track/61PwnlNoRV7z745HYttZ9z?si=2ulo_1_8SAqO3xaVCO3g4g,Chester Music,https://www.boosey.com/shop/prod/Maconchy-Elizabeth-Fantasia/2016630,,,
"Maconchy, Elizabeth",1907-1994,Irish English,Reflections,1960,9,"Oboe, Clarinet, Viola, Harp",https://open.spotify.com/album/44TH44D85b5qQA0uOtILyz?si=YuKu8JtWT3eElOqD3rRVTA,Chester Music,https://www.wisemusicclassical.com/work/12223/Reflections--Elizabeth-Maconchy/,,,
"Maconchy, Elizabeth",1907-1994,Irish English,Wind Quintet,1980,19,"Wind Quintet (Flute, Oboe, Clarinet, Bassoon, Horn)",,Chester Music,https://www.boosey.com/shop/prod/Maconchy-Elizabeth-Wind-Quintet/2343557,,,
"Maconchy, Elizabeth",1907-1994,Irish English,L'horloge,1983,7,"Soprano, Clarinet, Piano",,Chester Music,https://www.wisemusicclassical.com/work/12210/LHorloge--Elizabeth-Maconchy/,,,
"Maconchy, Elizabeth",1907-1994,Irish English,Conversations,1968,,Clarinet and Viola,,,,,,
"Maconchy, Elizabeth",1907-1994,Irish English,Concertino No. 1,1945,14,Clarinet and String Orchestra,https://open.spotify.com/album/1r2lp1pZJJyRNVOil4BSqo?si=JhdsQEi8R5y23Fm6ydEbkg,Chester Music,https://www.wisemusicclassical.com/work/8351/Concertino--Elizabeth-Maconchy/,,,
"Maconchy, Elizabeth",1907-1994,Irish English,Concertino No. 2,1985,10,Clarinet and Chamber Orchestra,,Chester Music,https://www.wisemusicclassical.com/work/8350/Concertino--Elizabeth-Maconchy/,,,
"Maconchy, Elizabeth",1907-1994,Irish English,Variazioni Concertanti,1965,18,"Oboe, Clarinet, Bassoon, Horn, String Orchestra",,Chester Music,https://www.wisemusicclassical.com/work/8336/Variazioni-concertanti--Elizabeth-Maconchy/,,,
"Mamlok, Ursula",1923-2016,German American,Festive Sounds,1978,8,"Flute, Oboe, Clarinet, Bassoon, Horn",,,,,,
"Mamlok, Ursula",1923-2016,German American,Aphorisms II,2009,7,2 Clarinets,https://www.boosey.com/audio-clip/Aphorisms-II-2009/101131,Bote & Bock,https://www.schott-music.com/en/aphorisms-ii-no303716.html,,,
"Marez-Oyens, Tera de",1932-1996,Dutch,Mosaic,1979,8,"Oboe, Clarinet, Bassoon, Horn, Piano",,Amsterdam Domenus,http://terademarezoyens.nl/en/oeuvre-catalogue/worklist/mosaic==for=oboe==clarinet==horn==bassoon=and=piano==1979-0-detail.html,,,
"Mazzoli, Missy",b.1980,American,,,,,,,,https://missymazzoli.com/,,
"McDowall, Cecilia",b.1951,British (English),Century Dances,2005,12,"Oboe, Clarinet, Bassoon",,,,,,
"McDowall, Cecilia",b.1951,British (English),Arctic Circle,2001,10,"Wind Quintet and Piano (Flute, Oboe, Clarinet, Bassoon, Horn, Piano)",,,,,,
"McDowall, Cecilia",b.1951,British (English),Cavatina at Midnight,2008,10,"Clarinet Trio (Clarinet, Cello, Piano)",,,,,,
"McDowall, Cecilia",b.1951,British (English),Dream City,2002,17,"Flute, Clarinet, Harp, String Quartet (2 Violins, Viola, Cello)",,,,,,
"McDowall, Cecilia",b.1951,British (English),Le Temps Viendra,1998,7,"Oboe, Clarinet/Bass Clarinet, Piano",,,,,,
"McDowall, Cecilia",b.1951,British (English),The Night Trumpeter,2004,11,"Clarinet, Bassoon, Trumpet, Violin, Cello, Piano",,,,,,
"McDowall, Cecilia",b.1951,British (English),Jeu à Treize,2000,8,"2 Oboes, 2 Clarinets, 2 Basset Horns, 4 Horns, 2 Bassoons, Double Bass",,,,,,
"McDowall, Cecilia",b.1951,British (English),Subject to the Weather,2010,5,"Wind Quintet (Flute, Oboe, Clarinet, Bassoon, Horn)",,,https://global.oup.com/academic/product/subject-to-the-weather-9780193378292,,,
"McDowall, Cecilia",b.1951,British (English),Winter Music,1992,9,"Wind Quintet (Flute, Oboe, Clarinet, Bassoon, Horn)",,,,,,
"McDowall, Cecilia",b.1951,British (English),Three Pastiches,1994,10,Clarinet and Piano,,,https://www.fullermusic.co.uk/products/cecilia_mcdowall_three_pastiches_clarinet_piano?_pos=22&_sid=08b32bbd1&_ss=r,,,
"Morishita, Chikako",b.1981,Japanese,Lizard,2011,,"Clarinet, Trumpet, Trombone",,,,,,
"Morlock, Jocelyn",b.1969,Canadian,"Icarus, Landing",2000,15,"Flute/Piccolo, Oboe, Clarinet, Violin, Cello, Double Bass, Piano, Percussion",,Canadian Music Centre,http://musiccentre.ca/node/21726,,,
"Moszumanska-Nazar, Krystyna",1924-2009,Polish,5 Duets,1959,10,"Flute, Clarinet",,PWM,"https://pwm.com.pl/pl/sklep/publikacja/5-duetow,krystyna-moszumanska-nazar,12589,ksiegarnia.htm",,,
